type,input,output,PRCC
flighty,lG,GCD,0.41214590980799704
flighty,lG,N_offspring,-0.41214590982142346
flighty,lG,R0,-1.691808546044536e-4
flighty,lL,GCD,0.16276175617191632
flighty,lL,N_offspring,-0.1627617561726872
flighty,lL,R0,7.635746223754389e-4
flighty,lP,GCD,0.1629525216742994
flighty,lP,N_offspring,-0.16295252167362526
flighty,lP,R0,4.638799072323538e-4
flighty,lQ,GCD,0.00328718209241406
flighty,lQ,N_offspring,-0.0032871820691806196
flighty,lQ,R0,0.0688420578264163
flighty,pG,GCD,-0.7842556867873379
flighty,pG,N_offspring,0.7842556867785253
flighty,pG,R0,-0.9279564709897328
flighty,pL,GCD,-0.16646725294317705
flighty,pL,N_offspring,0.16646725294889703
flighty,pL,R0,0.06858343363558046
flighty,pP,GCD,-0.332497072986917
flighty,pP,N_offspring,0.3324970729872219
flighty,pP,R0,-0.3490779337632863
flighty,sigma,GCD,-4.3811253598037705e-4
flighty,sigma,N_offspring,4.3811253990120046e-4
flighty,sigma,R0,0.004845740725973133
max,lG,GCD,0.04846756029249763
max,lG,N_offspring,-0.048467565523339494
max,lG,R0,-0.0037114867876094295
max,lL,GCD,0.20924323204058953
max,lL,N_offspring,-0.2092432390378734
max,lL,R0,-0.029381941131733313
max,lP,GCD,0.09857171212894524
max,lP,N_offspring,-0.09857170864784655
max,lP,R0,-0.009061213969487393
max,lQ,GCD,0.11050530289804003
max,lQ,N_offspring,-0.11050530877773977
max,lQ,R0,-0.015428938901384323
max,pG,GCD,-0.5574096774224947
max,pG,N_offspring,0.5574096954030954
max,pG,R0,-0.8422939389673926
max,pL,GCD,-0.40767936552468176
max,pL,N_offspring,0.4076793538356676
max,pL,R0,0.06806158847538919
max,pP,GCD,-0.5087055612121396
max,pP,N_offspring,0.5087055400676108
max,pP,R0,-0.43763635248998733
max,sigma,GCD,-0.08598511561835595
max,sigma,N_offspring,0.08598511230198835
max,sigma,R0,0.011409047443547066
persistent,lG,GCD,0.5272811171882535
persistent,lG,N_offspring,-0.5272811171978452
persistent,lG,R0,-4.3908312380822436e-4
persistent,lL,GCD,0.09235353527653156
persistent,lL,N_offspring,-0.0923535352788768
persistent,lL,R0,-0.0015687321744818222
persistent,lP,GCD,0.12857135008802123
persistent,lP,N_offspring,-0.12857135008449433
persistent,lP,R0,-0.001011648998464527
persistent,lQ,GCD,0.0012847489818000092
persistent,lQ,N_offspring,-0.0012847489652485222
persistent,lQ,R0,-0.0623844606428612
persistent,pG,GCD,-0.7853971948767707
persistent,pG,N_offspring,0.7853971948701226
persistent,pG,R0,-0.9071851054705241
persistent,pL,GCD,-0.09393423498982566
persistent,pL,N_offspring,0.0939342349893193
persistent,pL,R0,-0.05343048024574202
persistent,pP,GCD,-0.22347286894798785
persistent,pP,N_offspring,0.22347286894909063
persistent,pP,R0,-0.4014158305949486
persistent,sigma,GCD,-2.2351368579206886e-4
persistent,sigma,N_offspring,2.2351368675372927e-4
persistent,sigma,R0,-0.015978267069090366
