Input,Output,Correlation
invlQ_day,GCD,0.43849328634493284
invlL_day,GCD,-0.003492632722926327
invlP_day,GCD,-0.01675146073151461
invlG_day,GCD,-0.014000669228006692
sigma,GCD,-0.33055086158950864
pL,GCD,-0.39024237521042376
pP,GCD,-0.4105873289178733
pG,GCD,-0.39836285590762854
invlQ_day,N_offspring,-0.4384926412129264
invlL_day,N_offspring,0.0034924132789241327
invlP_day,N_offspring,0.01675139096351391
invlG_day,N_offspring,0.014000971496009715
sigma,N_offspring,0.3305512502815125
pL,N_offspring,0.39024215528642153
pP,N_offspring,0.4105875439938754
pG,N_offspring,0.39836282522362826
invlQ_day,R0,-0.5002224712062248
invlL_day,R0,0.009181255507812555
invlP_day,R0,0.025219562412195626
invlG_day,R0,-0.3160192653161927
sigma,R0,0.37875692215956924
pL,R0,0.45078697673586976
pP,R0,0.17609650480496505
pG,R0,0.16246768264067682
