iterate,order,row_index,col_index,value,logLik
1,1,1,1,-0.05318851888440147,-3841.714020812019
2,1,1,1,-0.05758624307328364,-3837.3315548311757
3,1,1,1,-0.058507577116874626,-3837.183966455257
4,1,1,1,-0.056117868875709444,-3838.099328985793
5,1,1,1,-0.05735511435130061,-3837.4084243387656
6,1,1,1,-0.0569916081223178,-3837.562225409662
7,1,1,1,-0.06067248370331168,-3837.799754535598
8,1,1,1,-0.05983813929258714,-3837.406523691187
9,1,1,1,-0.05815341623091864,-3837.210927241819
10,1,1,1,-0.059657784752368104,-3837.3468926348537
11,1,1,1,-0.05892843036023703,-3837.19953509179
12,1,1,1,-0.058232914386911194,-3837.201663035082
13,1,1,1,-0.05793182610184677,-3837.246630305987
14,1,1,1,-0.057646513001832926,-3837.3141633431114
15,1,1,1,-0.06275663996934853,-3839.5972272098093
16,1,1,1,-0.05994163691179586,-3837.4448492702554
17,1,1,1,-0.05467391773696511,-3839.5220312301635
18,1,1,1,-0.06058773680392668,-3837.7510962644733
19,1,1,1,-0.060129614816605795,-3837.522075779882
20,1,1,1,-0.0561804692129273,-3838.052874105222
21,1,1,1,-0.05849511358782936,-3837.1842905865883
22,1,1,1,-0.057639553346230415,-3837.316115753395
23,1,1,1,-0.058307933584942184,-3837.1946300262707
24,1,1,1,-0.055136464542522697,-3838.9920894450324
25,1,1,1,-0.0557836418756205,-3838.368480373624
26,1,1,1,-0.05679608753211768,-3837.6617439242827
27,1,1,1,-0.06074133999312394,-3837.8407258896023
28,1,1,1,-0.059323721782906486,-3837.2606247106623
29,1,1,1,-0.058418753085726895,-3837.187268298412
30,1,1,1,-0.06026173361297304,-3837.5822058968615
31,1,1,1,-0.0612772319162693,-3838.203291515942
32,1,1,1,-0.05661974535503245,-3837.7616627104408
33,1,1,1,-0.06120319509964559,-3838.148617103597
34,1,1,1,-0.056387787108730276,-3837.9078758532855
35,1,1,1,-0.05978007921771906,-3837.386332995985
36,1,1,1,-0.06059474307859405,-3837.755044872892
37,1,1,1,-0.058646258484236206,-3837.1834171219016
38,1,1,1,-0.060181047436036125,-3837.5449111482912
39,1,1,1,-0.06077614206857101,-3837.861923137912
40,1,1,1,-0.05821926251922625,-3837.203121252093
41,1,1,1,-0.06037212578404812,-3837.6361346603953
42,1,1,1,-0.05835695130463739,-3837.1909290755193
43,1,1,1,-0.0550713994903278,-3839.062353828444
