class,dimension,data_set,A,alpha
general,1,1,,
coxian,1,1,,
general,2,1,,
coxian,2,1,,
general,3,1,,
coxian,3,1,,
general,4,1,,
coxian,4,1,,
general,5,1,,
coxian,5,1,,
general,1,2,,
coxian,1,2,,
general,2,2,,
coxian,2,2,,
general,3,2,,
coxian,3,2,,
general,4,2,,
coxian,4,2,,
general,5,2,,
coxian,5,2,,
general,1,3,,
coxian,1,3,,
general,2,3,,
coxian,2,3,,
general,3,3,,
coxian,3,3,,
general,4,3,,
coxian,4,3,,
general,5,3,,
coxian,5,3,,
general,1,4,,
coxian,1,4,,
general,2,4,,
coxian,2,4,,
general,3,4,,
coxian,3,4,,
general,4,4,,
coxian,4,4,,
general,5,4,,
coxian,5,4,,
general,1,5,,
coxian,1,5,,
general,2,5,,
coxian,2,5,,
general,3,5,,
coxian,3,5,,
general,4,5,,
coxian,4,5,,
general,5,5,,
coxian,5,5,,
general,1,6,,
coxian,1,6,,
general,2,6,,
coxian,2,6,,
general,3,6,,
coxian,3,6,,
general,4,6,,
coxian,4,6,,
general,5,6,,
coxian,5,6,,
general,1,7,,
coxian,1,7,,
general,2,7,,
coxian,2,7,,
general,3,7,,
coxian,3,7,,
general,4,7,,
coxian,4,7,,
general,5,7,,
coxian,5,7,,
general,1,8,,
coxian,1,8,,
general,2,8,,
coxian,2,8,,
general,3,8,,
coxian,3,8,,
general,4,8,,
coxian,4,8,,
general,5,8,,
coxian,5,8,,
general,1,9,,
coxian,1,9,,
general,2,9,,
coxian,2,9,,
general,3,9,,
coxian,3,9,,
general,4,9,,
coxian,4,9,,
general,5,9,,
coxian,5,9,,
general,1,10,,
coxian,1,10,,
general,2,10,,
coxian,2,10,,
general,3,10,,
coxian,3,10,,
general,4,10,,
coxian,4,10,,
general,5,10,,
coxian,5,10,,
general,1,11,,
coxian,1,11,,
general,2,11,,
coxian,2,11,,
general,3,11,,
coxian,3,11,,
general,4,11,,
coxian,4,11,,
general,5,11,,
coxian,5,11,,
general,1,12,,
coxian,1,12,,
general,2,12,,
coxian,2,12,,
general,3,12,,
coxian,3,12,,
general,4,12,,
coxian,4,12,,
general,5,12,,
coxian,5,12,,
general,1,13,,
coxian,1,13,,
general,2,13,,
coxian,2,13,,
general,3,13,,
coxian,3,13,,
general,4,13,,
coxian,4,13,,
general,5,13,,
coxian,5,13,,
general,1,14,,
coxian,1,14,,
general,2,14,,
coxian,2,14,,
general,3,14,,
coxian,3,14,,
general,4,14,,
coxian,4,14,,
general,5,14,,
coxian,5,14,,
general,1,15,,
coxian,1,15,,
general,2,15,,
coxian,2,15,,
general,3,15,,
coxian,3,15,,
general,4,15,,
coxian,4,15,,
