class,dimension,data_set,A,alpha
Mechanistic,4,1,,
Mechanistic,4,2,,
Mechanistic,4,3,,
Mechanistic,4,4,,
Mechanistic,4,5,,
Mechanistic,4,6,,
Mechanistic,4,7,,
Mechanistic,4,8,,
Mechanistic,4,9,,
Mechanistic,4,10,,
Mechanistic,4,11,,
Mechanistic,4,12,,
Mechanistic,4,13,,
Mechanistic,4,14,,
Mechanistic,4,15,,
Mechanistic,4,16,,
Mechanistic,4,17,,
Mechanistic,4,18,,
Mechanistic,4,19,,
Mechanistic,4,20,,
Mechanistic,4,21,,
Mechanistic,4,22,,
Mechanistic,4,23,,
Mechanistic,4,24,,
Mechanistic,4,25,,
Mechanistic,4,26,,
Mechanistic,4,27,,
Mechanistic,4,28,,
Mechanistic,4,29,,
Mechanistic,4,30,,
Mechanistic,4,31,,
Mechanistic,4,32,,
Mechanistic,4,33,,
Mechanistic,4,34,,
Mechanistic,4,35,,
Mechanistic,4,36,,
Mechanistic,4,37,,
Mechanistic,4,38,,
Mechanistic,4,39,,
Mechanistic,4,40,,
Mechanistic,4,41,,
Mechanistic,4,42,,
Mechanistic,4,43,,
Mechanistic,4,44,,
Mechanistic,4,45,,
Mechanistic,4,46,,
Mechanistic,4,47,,
Mechanistic,4,48,,
Mechanistic,4,49,,
Mechanistic,4,50,,
Mechanistic,4,51,,
Mechanistic,4,52,,
Mechanistic,4,53,,
Mechanistic,4,54,,
Mechanistic,4,55,,
Mechanistic,4,56,,
Mechanistic,4,57,,
Mechanistic,4,58,,
Mechanistic,4,59,,
Mechanistic,4,60,,
Mechanistic,4,61,,
Mechanistic,4,62,,
Mechanistic,4,63,,
Mechanistic,4,64,,
Mechanistic,4,65,,
Mechanistic,4,66,,
Mechanistic,4,67,,
Mechanistic,4,68,,
Mechanistic,4,69,,
Mechanistic,4,70,,
Mechanistic,4,71,,
Mechanistic,4,72,,
Mechanistic,4,73,,
Mechanistic,4,74,,
Mechanistic,4,75,,
Mechanistic,4,76,,
Mechanistic,4,77,,
Mechanistic,4,78,,
Mechanistic,4,79,,
Mechanistic,4,80,,
Mechanistic,4,81,,
Mechanistic,4,82,,
Mechanistic,4,83,,
Mechanistic,4,84,,
Mechanistic,4,85,,
Mechanistic,4,86,,
Mechanistic,4,87,,
Mechanistic,4,88,,
Mechanistic,4,89,,
Mechanistic,4,90,,
Mechanistic,4,91,,
Mechanistic,4,92,,
Mechanistic,4,93,,
Mechanistic,4,94,,
Mechanistic,4,95,,
Mechanistic,4,96,,
Mechanistic,4,97,,
Mechanistic,4,98,,
Mechanistic,4,99,,
Mechanistic,4,100,,
