iterate,lambda_Q,lambda_L,p_L,lambda_P,p_P,lambda_G,p_G,f,logLik
2,0.0027422221673671495,0.0039941390628316226,0.995385732281127,0.005281335969668158,0.9998621673654399,0.03004627128754309,0.9999343082965231,0.86977218140165,-82067.30161880361
3,0.0024883356884982705,0.004265392253457106,0.9932099490747431,0.006168237986878154,0.9999848146985763,0.033651374417132646,0.9999971821056627,0.9273358721258672,-81609.4824957147
4,0.0022697663222636605,0.0046798215727957,0.9921959065777363,0.007055980398506247,0.9999409249967801,0.03750743935975451,0.9999184611634991,0.9999999756889731,-81147.05444167719
5,0.0020536995142533066,0.005264779254699225,0.9708255491498334,0.007928930979734392,0.9999732260240767,0.040822583809769115,0.9998587390701904,0.2411650294888528,-80728.52811456175
6,0.0018789875973857304,0.005965472422709312,0.9840095953630079,0.009168474457934004,0.9998978254608529,0.043515970748034614,0.9999823190339451,0.8413217241129448,-80249.80542497242
7,0.0017984097228176696,0.0067088097564052315,0.9621873204394619,0.010314218905905212,0.9999451180375251,0.04755562750219147,0.9999999729448836,0.6638737571262442,-79884.90509974356
8,0.0017871278938392603,0.007313692716744627,0.9475265900651598,0.0117083787366903,0.9999816169508233,0.051377229150903106,0.999960386702215,0.9341005541167402,-79562.65596015274
9,0.0017996265733472808,0.008268808330499209,0.9112819761042963,0.012913060719947604,0.9999168206797275,0.053862367873973326,0.9999897676228326,0.9987465065045299,-79274.56300309449
10,0.0018782816623980564,0.008855609284456206,0.8555013365032185,0.01396615140099933,0.9997755841348267,0.057321647925676435,0.9999508089898502,0.978872449391042,-79080.09836074403
11,0.0020234389675858103,0.009141761067931046,0.802501908098345,0.014846745066081227,0.9987358323509306,0.06098552667748834,0.9999133863242974,0.9990511490645761,-78944.21252245156
12,0.0022038448832009897,0.00966634485011301,0.7348898269843006,0.015975667845891425,0.9986614303677492,0.063394409358316,0.9999952341022056,0.9999577478303878,-78792.09302591845
13,0.002402331966054426,0.01038171486054213,0.6824612183611984,0.016922221809671675,0.9985499982053054,0.06746601676433876,0.9999181348912904,0.9992257310823054,-78647.58254252054
14,0.002620763125578449,0.011054431101662203,0.6158926894095936,0.017914293361691726,0.9981712913598513,0.07230782212673068,0.9999833708318666,0.9999994622742202,-78506.48178674473
15,0.0028524200480856544,0.011891490424792319,0.5740489782258825,0.019090945700272473,0.9977444668421038,0.07581519190277532,0.9999953586524111,0.9990467302223777,-78384.04871130701
16,0.003056082885682531,0.012703085937871566,0.5243268166490495,0.019785271023152518,0.9977733884014118,0.07765859029283925,0.9999657543544994,0.9687059817015383,-78304.53949698064
17,0.003238794406235688,0.01402144471161523,0.46958792261100557,0.020908313708225896,0.9985181302964962,0.07990929577728201,0.9999572347219488,0.8958665203126189,-78215.58689599256
18,0.0034459140511031304,0.015045191805643492,0.4293663559867982,0.021643160666167272,0.9983648781112497,0.08157602758538603,0.999972480230724,0.8606539668290338,-78153.86869289068
19,0.0036352749327126107,0.015269402963477046,0.4147885821984153,0.02261520646376791,0.997958498567092,0.08328005147528503,0.9999375921903505,0.8925366223642807,-78097.55252735164
20,0.0038780445132282843,0.01543239632673666,0.39810384187563697,0.023481437491666545,0.9972521440379984,0.08253494325159766,0.9996934084216673,0.9179336540712517,-78058.46801365964
21,0.004116149719344772,0.015205976894820542,0.39749190983340305,0.023890364399694823,0.9963244303858806,0.0845236285652545,0.999692298095426,0.9920491871063029,-78020.32789789038
22,0.004306676256685781,0.01599815515670419,0.3775493078784032,0.02440752877651719,0.9965681718333552,0.08555881073483693,0.9989116666817923,0.9836232661310662,-77979.0610716036
23,0.004490915870549769,0.016413395332926822,0.3624268387708325,0.025216702699968216,0.9965782446550128,0.08686926291107698,0.998548630934058,0.9973139042158837,-77937.42845440799
24,0.0047268164286713085,0.016889301467617676,0.34528132578573445,0.025794549678920118,0.9959654900360253,0.08880435708768625,0.9976442059895806,0.9999999999984619,-77901.75367827034
25,0.004901828746278916,0.017270879413781,0.33363699597035074,0.026483385013911613,0.9969759207825293,0.09057868272011059,0.9973415500789782,0.9998701305453113,-77871.51023754012
26,0.005100529625669301,0.017508429197256606,0.32240907093862714,0.027872321889571304,0.9964742940748612,0.09369386960907312,0.9969704612805742,0.9965370186455591,-77832.25592363477
27,0.0053180376237889695,0.01767165415644203,0.31022984728147296,0.028813237420044064,0.996541196561264,0.09550928345812948,0.9957175121661929,0.9996800908165888,-77804.63830804105
28,0.005414553624904978,0.018072248124293436,0.30348164675188943,0.02952096064466701,0.9962575066994416,0.09870517926180991,0.9954243670516747,0.9999999638993774,-77777.22393318887
29,0.005585387837402326,0.018695222027378437,0.29227604990239126,0.030825524011741563,0.9965393389991981,0.10075525054101919,0.9959447847444801,0.99850295186338,-77741.20209496941
30,0.005682741019484317,0.019122995204115242,0.28780227867893937,0.03212977328273116,0.9970147517357177,0.10311068845000068,0.9963680306521282,0.9999999976829753,-77711.22743915505
31,0.005895224357188697,0.019934196872454898,0.2738529132913845,0.03317595036462123,0.9976311776115967,0.1069970818314668,0.9967460423228772,0.9790030615456492,-77680.65175641459
32,0.0060741165074180035,0.02259342069791329,0.24053174989602644,0.0332681146495202,0.9973932350076682,0.10781228877293411,0.9954279414132634,0.8551058746510507,-77668.06804505688
33,0.006228223234445381,0.021058473511235798,0.2589507193059051,0.03320015349378081,0.9983480940712448,0.11193346573501183,0.9967073189920354,0.9668568248553694,-77653.58993914931
34,0.006442438538215499,0.02142120859165799,0.25111457846406204,0.03368739932327635,0.9979065874353392,0.11376594689525561,0.9962566265886581,0.9753354495099633,-77635.4133340066
35,0.00660392028486647,0.021508994276758408,0.2518170319843958,0.034178555171449757,0.9963241426191756,0.11649335072504158,0.9952349862004517,0.9999423689923408,-77618.59489528577
36,0.006698367555402276,0.021724545650994846,0.24238026403982693,0.034526190798188784,0.9963604197818376,0.11508374180472951,0.9957294217756797,0.999988163783963,-77613.78241179392
37,0.006876182321993409,0.022592300644068454,0.23255609968994034,0.03458464794947809,0.9963929244478698,0.11718681707347407,0.9956226053350347,0.9710771145115081,-77602.81120852227
38,0.007013001115826344,0.022651993053363562,0.2322290399843019,0.03538144553047333,0.9939907969327761,0.1171708367822925,0.9963625839858745,0.9798871658871801,-77591.09644482446
39,0.0070856193248770025,0.022750962780921948,0.2332018848325676,0.03697267327070368,0.995350097139536,0.11887756978241691,0.9950595725861556,0.9999999999999846,-77569.7077372257
40,0.0071326697748960435,0.022975631459376186,0.22902401286168136,0.037647264110055735,0.9963366413052368,0.12133833655297008,0.9948632003008419,0.9974547629222026,-77558.91029451847
41,0.007225328968039775,0.02313307225848056,0.2288659177248409,0.038305520791589824,0.9955519349240928,0.12201072045833386,0.9955630065754996,0.9999999303633837,-77549.83172226438
42,0.007379049899751822,0.023715012857948362,0.22628492650817744,0.03868937486367002,0.9943169661391734,0.12370323003287574,0.9932321745297533,0.9999999114909489,-77538.10762546243
43,0.007579967953941811,0.02404520365894715,0.21793713149915533,0.03887402791625627,0.9939812805639323,0.12608006140599273,0.9936413131946622,0.9998515018738378,-77527.98806629586
44,0.00772248257562428,0.024894889334713836,0.20622509836484973,0.03946481438232806,0.9927796990970295,0.12422738446891686,0.9933790892875229,0.970443850385799,-77523.85064507241
45,0.007882648999765948,0.025048208366122038,0.2110251833739966,0.03944454659131237,0.9932836721845212,0.12488315709163327,0.9908555904451605,0.9925619773028795,-77514.92039167082
46,0.007998304260443071,0.02536150246554519,0.20431813397707949,0.03991148753274637,0.991660381337124,0.12839003358173964,0.9883645227051449,0.9995830414675364,-77504.71222593154
47,0.008170666708758408,0.025610454550575926,0.20201178537156217,0.039600163559370335,0.9896850010752543,0.13217802021225925,0.9865620017219151,0.9999781031146038,-77498.50321018668
48,0.008352048183053809,0.025955333430395612,0.20289051867783173,0.040312252976991286,0.9902419514004671,0.13323250838924414,0.9822870920010587,0.999042395051326,-77487.7897800317
49,0.008577640917041628,0.02638404808439088,0.19744125764494647,0.0402837130743788,0.9878945671769219,0.13587004615893086,0.9797962435337543,1.0000000000000004,-77479.89837235768
50,0.008753374761354965,0.026829532663827746,0.19357858286486324,0.04077595983469068,0.987746308154501,0.13535585387118845,0.9802435036860232,0.9999258675399728,-77472.63212801659
51,0.008853882706070331,0.02711076003855967,0.1911069784463022,0.04157894767647105,0.9862788123447439,0.1390543426268109,0.978907627652547,1.0000000000000042,-77461.95476602134
52,0.009060377348168351,0.02774326370374653,0.187464566812078,0.041689333438824604,0.9868139093670824,0.14113535462383658,0.9788405907243296,0.9999998785020396,-77453.39045804345
53,0.009242102711701065,0.028348165332483778,0.1885547478856391,0.0422480969058759,0.9883810596764145,0.13949182314889771,0.9783518113508923,0.9988146085174232,-77450.47763651676
54,0.009409783728018812,0.028729618324352862,0.18016419841101985,0.04243443804614455,0.9870362304928382,0.1406456848642845,0.976948306825925,0.9999250526271514,-77441.07731216932
55,0.00958769259502282,0.029162537857152532,0.1756942746465033,0.044294992915958425,0.9883131837325106,0.14368443889608867,0.9770581186006433,0.9928770818780364,-77426.47443127053
56,0.009729099723631538,0.029572731979716712,0.17293345697939508,0.04430707992289719,0.9896836716437144,0.1483608427825412,0.9761310920313869,0.9854044514093517,-77420.50407583055
57,0.00986186848471807,0.03024082152781952,0.17091305415227792,0.044450712765904545,0.9897628128509159,0.1456664102279903,0.9794631964280592,0.9709233825698004,-77420.38077447878
58,0.009988436604050684,0.029717656343804143,0.16942303029227151,0.04479084087506174,0.9901412314074035,0.14881270359132298,0.979062514342824,0.9972677255148981,-77413.87783832222
59,0.010164098217053465,0.029761931893083394,0.17125974125817248,0.04474896786676317,0.9915981494154478,0.15008671200153575,0.9773234951875558,0.9999953042094882,-77413.04275926662
60,0.010240335753060386,0.030049799711208115,0.16521511198488636,0.045637575224284334,0.9935157708349719,0.14952764983142494,0.9756725584477646,0.9987244760777922,-77406.48279601987
61,0.010339877154057627,0.030440628274204764,0.16577061836021587,0.045833509700364594,0.9920754854021733,0.1475634667339501,0.9751207321920247,0.9999877686892256,-77403.79330178023
62,0.010597832925776433,0.030820147692553805,0.1642570427715545,0.04691131425734174,0.9922921998897626,0.14676276596347423,0.9723826210619978,0.9999997117924174,-77397.31804102162
63,0.010870574511789915,0.030842243148874852,0.16316179440776063,0.04850335614549653,0.9926053824396489,0.14780845578152418,0.9686162375105173,0.9999999999997453,-77390.6510404616
65,0.011018897420679581,0.03142204402233961,0.16095134697292396,0.0481974190590364,0.992541890363297,0.15271092341737108,0.965774846659113,0.9994090975301803,-77384.81746730336
64,0.010908866724674756,0.03114456039010017,0.15977457141807766,0.04873648913326865,0.9921064087408779,0.1502763470005557,0.9666648501233602,0.9994690724744925,-77383.9218368593
